,names_all,name_index,match,Cluster
22,1 8168912400 Tel Ex 1 816891 76,22,"[3561, 1768, 12225, 1872, 14214, 2934, 5988, 3009, 15662, 985, 16961, 15660, 7492, 4839, 6681, 16498, 15114, 10375, 16161, 16627, 12029, 13169, 2260, 11079, 2675, 15592, 13334, 11854, 9869, 5323, 3262, 16192, 3937, 11081, 6769, 662, 6964, 14795, 2094, 15772, 3552, 9673, 14639, 13158, 14610, 7100, 10697, 13722, 2331, 1008, 10119, 10358, 3269, 3870, 14591, 6048, 11214, 6855, 15052, 2581, 16807, 8484, 1971, 9930, 8036, 15347, 6080, 14478, 11739, 16353, 17094, 12192, 11863, 5842, 9338, 3831, 14776, 5538, 8573, 7483, 3879, 9681, 3390, 5258, 12101, 15213, 17079, 14793, 14262, 16217, 2469, 8288, 10856, 16431, 11599, 8628, 5098, 17355, 5613, 16272, 9404, 5368, 3756, 11741, 5287, 16695, 13689, 11437, 16260, 3095, 7557, 13033, 16911, 16266, 9289, 16261, 374, 13307, 16269, 5524, 4829, 1015, 8810, 15641, 11290, 935, 3008, 9332, 5222, 683, 17794, 12718, 16133, 10849, 11275, 16263, 14489, 14101, 16394, 7117, 7070, 13038, 8093, 8488, 11853, 7104, 15658]",6
23,1 Dhl Global Forwarding,23,"[6787, 1937, 7952, 12509, 7897, 10159, 3994, 118, 2378, 16202, 12798, 16067, 9278, 3307, 3996, 676, 8270, 3997, 5509]",10
24,1 St Notify Party,24,"[5768, 13202, 15988]",11
25,1 St World Medical Supplies Solution Inc.,25,"[14896, 15047, 7223, 9809, 7667, 17482, 16148, 7270, 11120, 1060, 13167, 4711, 17243]",12
26,10841 Ambassador Drive,26,"[12022, 9228, 9541, 9578, 1712, 13374, 1730, 16616, 4453, 16641, 7869, 4461, 13167, 851]",11
27,123 E Latin America S De Rl De Cv,27,"[13297, 9847, 9933, 5032, 6704, 12509, 5132, 7217, 10669, 9421, 10172, 4548, 13681, 10170, 10186, 14995, 16943, 7751, 16207, 12526, 1342, 3178, 9953, 9809, 13380, 3566, 10674, 14938, 950, 9340, 12879, 2812, 7391, 12524, 10535, 7390, 6105, 905, 15509, 10085, 12471, 13411, 8040, 9420, 4041, 13374, 12527, 403]",13
28,128 Yeouidaero Youngdeungpo Gu,28,"[11120, 12509]",14
29,14 Th Fl. Guomao Building Hubin,29,"[5747, 9247]",15
30,2 Nd Bulkhaul (Usa) Inc.,30,"[3555, 2067, 10920, 4701, 13374, 118]",12
31,2 Nd Norify Party Goodyear Canada Inc.,31,"[4708, 8551, 6205, 1699, 3630, 24, 12808, 1712, 10170, 3728, 1695]",15
32,2 Wedmore Close,32,"[10170, 5918, 11036, 118, 1514, 17214]",11
33,21 St Century Textiles Ltd.,33,"[12509, 10009, 15246, 16119, 14772, 16779, 12105, 704, 17590, 8470, 14561, 9158, 11038, 3064]",16
34,210 Brands Inc.,34,"[8297, 2567, 9828, 1088, 15291, 7896, 4472, 14998, 13859, 2503, 2954, 9050, 854, 1429, 16248, 17049, 8896, 10543, 15119, 17573, 13655, 16246, 8604, 13575, 10731, 3897, 13942, 12386, 9380, 6753, 3977, 6165, 17191, 7796, 8316, 9667, 5640, 1647, 744, 7049, 16694, 2377, 4391, 1148, 14952, 4678, 2402, 8992, 13611, 1939, 9459, 11583, 4697, 9450, 13338, 9107, 5277, 15770, 11244, 14243, 15117, 39, 16278, 2245, 4464, 10938, 5916, 7361, 4260, 3644, 42, 8276, 14725, 9952, 15730, 6256, 16743, 16229, 6921, 2261, 14317, 7721, 5794, 12592, 3877, 2298, 4417, 15704, 16910, 17617, 12608, 16247, 5070, 16614, 11480, 4384, 15380, 1510, 3825, 5745, 2300, 9874, 13825, 5380, 3237, 10707, 11183, 4480, 5646, 15549, 15633, 6349, 1109, 12772, 4479, 8494, 10793, 13341, 13334, 973, 2296, 3564, 2603, 5830, 9463, 2525, 2729, 13694, 11077, 16218, 16225, 9333, 1057, 6446, 3128, 5635, 9047, 14656, 8662, 16217, 6767, 3673, 9743, 17247, 9872, 16388, 9094, 6736, 14319, 9334, 4288, 2214, 2210, 5084, 7695, 7146, 11079, 10413, 17589, 9533]",10
35,210 Brands Inc. Dba Canterbury Usa,35,"[7606, 1000, 7198, 5747, 9057, 5473, 1514, 1217, 34, 4464, 4461, 5472, 4020, 2540]",10
36,210 Brands Inc./Canterbury Offi,36,"[3975, 13202, 13162, 3631, 2726, 16772, 5337, 5472, 2531, 4557, 4464, 13167]",11
37,2K Polymer Systems Ltd ,37,[3905],17
38,3 A Pakistan,38,"[13053, 4487, 12697, 8625, 1740, 11221, 13374, 11490, 1897, 4461, 7751, 1453, 15791, 8581, 11209]",10
39,3 Ds Traders,39,"[13159, 12652, 10458, 12324, 14196, 7456, 4479, 12946, 4461, 8871, 11980, 2942, 13948, 9944, 2914, 12484, 8101, 4617, 4326, 9489, 5030, 8820, 14208, 629, 2793, 17250, 17307, 10634, 13161, 7994, 11641, 262, 17193, 6446, 6592, 7525, 13858, 2865, 7476, 15769, 12369, 11684, 17118, 5600, 2946, 227, 17251, 3715]",10
40,3 K Treads (Pvt) Ltd.,40,"[17116, 5882, 4461, 15162, 12569, 8019, 10177, 1217, 8871, 6482, 8679, 6414, 2219, 11183, 8101, 5753, 16110, 17247, 6740, 13628, 15705, 8082, 11202, 8641, 13948, 7698, 7695, 9321, 854, 9874, 560, 10292, 12387, 11641, 416, 1339, 12291, 6591, 8241, 3984, 9401, 3888, 5251]",10
41,3 M Brockville Tape,41,"[2117, 2403, 6008, 12553, 16343, 10003, 5833, 2305, 5835, 15477]",10
42,3 M Do Brasil Ltda,42,"[1118, 10259, 8297, 488, 11684, 3236, 16694, 16679, 13575, 2323, 3108, 15115, 3016, 4417, 16164]",13
43,3 M India Ltd.,43,"[11499, 11466, 15247, 5351, 8388, 4884, 16443, 16576, 9981, 10660, 12743, 7575, 6183, 3309, 12247, 9874, 4425, 13006, 2978, 14408, 17102, 10498, 15882, 1416, 8549, 6960, 9933, 8662, 11395, 6596, 17103, 2902, 1049, 7741, 3454, 5612, 14556, 3621, 15262, 7407, 9797, 911, 4048, 17506, 8445, 12425, 11319, 7917, 7387, 13705, 2198, 11982, 1831, 13935, 2937, 4213, 11506, 8317, 5281, 15487, 979, 16146, 1024, 8500, 12707, 5517, 3511, 1378, 8701, 7839, 1734, 4636, 3122, 4964, 10252, 11707, 6093, 12800, 8974, 5273, 14217, 2997, 12851, 832, 6770, 7529, 15859, 14830, 10356, 16909, 10907, 16455, 11708, 16050, 115, 12585, 17474, 14618, 3902, 5707, 6935, 13039, 8092, 6320, 2762, 10155, 4862, 17515, 11517, 15051, 10915, 951, 16048, 5453, 17835, 5864, 17172, 16778, 17430, 3559, 13060, 4460, 10555]",14
44,3 M Manaus Industria De Produtos Quimicos Ltda,44,"[7277, 7482, 6006, 272, 3015, 12903, 7208, 12643, 7491, 5912, 17602, 12464, 12502, 13609, 9647, 4176, 8325, 4532, 1210, 15778, 1513, 15257, 7475, 4723, 15190, 12465, 3951, 7550, 1074, 9379, 7476, 10086, 338, 16749, 14531, 1255, 10150, 7465, 11780, 8234, 15719, 1035, 7456]",18
45,3 M United Kingdom Plc 3 M Center,45,"[15700, 8644, 3072, 4991, 3621, 10784]",19
46,3 Pl Guys,46,[10920],12
47,3 Plus Logistics (Atlanta),47,"[7129, 8219, 7214, 17206, 3521, 4137, 6355, 17480, 10888, 16624, 10827, 6727, 12856, 17499, 11378, 3976, 9091, 2073, 13015, 7223, 10935, 17570, 6133, 13392, 3543, 7935, 15558, 15180, 17228, 11252, 1801, 2746, 14566, 6358, 6010, 17189, 14576, 13167, 5416, 7644, 11894]",12
48,3 Plus Logistics Co.,48,"[10966, 11265, 16525, 13950, 1262, 3011, 3976, 7225, 17480, 113, 9060, 5042, 444, 7874, 11254, 5262, 13162, 13722, 14157, 13392, 2579, 10935, 5058, 7757, 13041, 6424, 4529, 2151, 6170, 17251, 2867, 5416, 7935, 6010, 10767, 3825, 3687, 15180, 2394, 1134, 2102, 7690, 13888, 1889, 9101, 17571, 17239, 10910, 8219, 1075, 1468, 10068, 14032, 8485, 4700, 11266, 10427, 5068, 15188, 12267, 1560, 17688, 15471, 2092, 6406, 7896, 5090, 17252, 9037, 12871, 1050, 13652, 11253, 12266, 2811, 15109, 11074, 12300, 12662, 1923, 17552, 2406, 12299, 3520, 8185, 17101, 2323, 7960, 17364, 6930, 8516]",12
49,3 Rd Floor Gate 4 Nanpu Building Tia,49,"[12490, 12509, 16579, 4453, 4708, 4992, 5855, 9087]",14
50,3 S Fabrications (Pvt) Ltd.,50,"[415, 5182, 8743, 16943, 5203, 2567, 5891, 3072, 5101, 5184]",19
51,31 Mcu Movement Control Unit,51,"[3072, 16506, 10920, 4686, 1514]",19
52,3475 Piedmont Rd. Ne Suite 1200,52,"[12509, 9060, 16255, 16343]",10
53,360 Athletics,53,"[7412, 3241, 9315, 9692, 126, 4708, 14420, 6355, 10299, 15387, 7316, 17324, 8171, 7569, 16408, 16626, 2214, 12439, 1882, 17230, 13152, 4388, 9890, 12044, 15520, 1356]",11
54,365 Incorprated,54,"[12592, 15172, 12573, 13045, 9060, 7378, 15156]",10
55,3702960 Dxl,55,"[7491, 3401, 665, 13678, 6762, 6609, 3686, 7322, 4134, 7492, 475, 9744, 3877, 6353, 4002, 4465, 772, 16691, 9696, 11469, 3861, 12082, 3890, 3976, 7611, 3902, 7444, 17001, 2008, 9692, 5098, 16810, 14759, 1999, 12267, 13764, 17320, 5442, 5086, 13647, 9784, 4169, 4155, 17328, 17290, 4436, 11836, 3880, 10019, 4757, 12712, 811, 3402, 224, 1211, 13745, 1720, 5650, 2006, 9078, 11865, 3912, 16716, 1155, 7267, 5047, 6165, 15076, 6781, 16151, 14652, 2988, 12560, 2407, 16697, 16554, 4166, 1841, 3910, 3899, 4004, 221, 13333, 4144, 17321, 3909, 6913, 4448, 9030, 13313, 11952]",12
56,3M Company (NYSE:MMM),56,"[2837, 10844, 157, 15450, 10281, 15499, 1548, 11143, 17860, 17854, 2037, 17864, 16312, 5041, 146, 7178, 1540, 13264, 18010, 2432, 5786, 8758, 16422, 15437, 13245, 155, 10838, 16780, 135, 7183, 4403, 1537, 2047, 4484, 11133, 15448, 15445, 17859, 5782, 153, 17869, 17855, 16653, 14757, 10278, 15687, 170, 3090, 10845, 17935, 15103, 2592, 2456, 12210, 7410, 16755, 3648, 15446, 2370, 12536, 7893, 15608, 158, 10975, 14735, 10280, 13239, 13259, 16393, 8260, 7189, 13226, 14756, 10836, 11158, 2444, 11531, 1249, 8454, 3036, 141, 15610, 9852, 15434, 359, 10709, 14507, 2446, 5266, 6521, 11695, 12239, 776, 7730, 13209, 7176, 7818, 8100, 13265, 10978, 4572, 9683, 10835, 1520, 5781, 14524, 8611, 6574, 16941, 7568, 13235, 10294, 4913, 1413, 160, 3110, 15455, 8948, 1532, 8755, 4577]",4
57,3M Deutschland GmbH,57,"[14757, 9256, 16955, 16129, 16312, 16140, 1534, 7176, 11118, 12638, 11139, 7172, 16364, 5599, 2461, 3921, 13226, 1556, 2120, 16657, 5267, 6847, 3661, 17865, 17012, 8670, 15103, 928, 3757, 17852, 5782, 1413, 5775, 12536, 15436, 17851, 13225, 3558, 11105, 16275, 10273, 7177, 10282, 4572, 8152, 15687, 17893, 1542, 14745, 1530, 3832, 10839, 2432, 15400, 4575, 11695, 14362, 6229, 144, 133, 4580, 10837, 3923, 17859, 13249, 12814, 162, 17265, 3665, 14735, 17860, 10031, 16652, 13246, 1432, 11137, 11129, 2140, 167, 16959, 14522, 10093, 5162, 8767, 17425, 4755, 16993, 9270, 13237, 10280, 6561, 17856, 2462, 5155, 175, 15435, 12534, 17855, 8520, 7184, 1240, 13220, 11122, 2453, 15201, 8454, 16702, 15449, 123, 11103, 8758, 13238, 5040]",4
58,3M Europe,58,"[928, 13238, 4581, 3653, 12760, 11918, 2450, 5154, 2837, 12779, 16955, 7183, 15111, 17860, 172, 12535, 2700, 9683, 4576, 2592, 10096, 4575, 1533, 9391, 14522, 7194, 3656, 17870, 16653, 17941, 4580, 15398, 1526, 11532, 14744, 2141, 8267, 2470, 3090, 7180, 11531, 8255, 2370, 1556, 9390, 109, 13262, 11155, 15447, 13226, 11129, 3125, 8455, 7169, 18020, 2456, 13210, 18021, 16128, 2458, 13260, 1053, 12638, 7170, 4913, 2463, 139, 8763, 11130, 16941, 3036, 5781, 16647, 8761, 1548, 11139, 10280, 4403, 7187, 152, 15453, 13265, 11157, 160, 15455, 15678, 4944, 11783, 7779, 10835, 776, 7186, 1249, 5162, 157, 11045, 2438, 16364, 13237, 4540, 1432, 16780, 11151, 4434, 10709, 3648, 148, 7772, 15686, 15789, 4572, 7820, 161, 13241, 17597, 10094, 2447, 5152, 11046, 15436, 15610, 11916, 16140, 655, 4887]",4
59,4 D Ag World,59,"[11405, 4669, 2189, 14250, 1798, 17214, 1135, 11243, 11010, 16548, 9220, 7623, 5257, 10187, 3519, 469]",12
60,4 Fleet Group GmbH,60,"[1527, 17137, 825]",20
61,4 States Trucks Inc.,61,"[16364, 302, 15714, 13202, 5855, 13162]",13
62,4 Stroke Energies,62,"[4750, 14812, 409, 17157, 6355, 10784]",19
63,"511 Foodservice Co., Ltd.",63,"[4463, 9556, 15015, 497, 2951, 2731, 7260]",12
64,555 North Point Center East Ste,64,"[11536, 11895, 10470, 302]",13
65,7 Cargo Corp. 6000,65,"[14845, 781, 5210, 5986, 5809, 8591, 13025, 4154, 2558, 2584, 7714, 2003, 3943, 4808, 2612, 7302, 6841, 14434, 8434, 2595, 2387, 6303, 16559, 2578, 7912, 2601, 2585, 14767, 4772, 9140, 1067, 9398, 2075]",12
66,8220 Charles Page Blvd Sand Springs,66,"[15416, 7724, 3644, 2554, 12509, 2571, 13202, 3630, 10470, 118, 12022, 11120, 14279, 15047, 4461, 12017, 13426, 9247, 17214, 3639]",14
67,: Precious Cargo Nig Ltd.,67,"[11996, 2571, 7912, 16943, 10784, 4711, 468, 5099, 10921, 9398, 15416, 16274, 13162]",12
68,: Rupahali Bd,68,"[13045, 7149]",19
69,A & A Chapple Sole Manufactures,69,"[8925, 16343, 14746, 3072, 4461, 5203, 9411, 9247, 7148, 1514, 268, 14702, 8225, 3113, 70, 5835, 9429, 9456, 10292, 10810]",10
70,A & A International,70,"[16862, 16411, 15920, 13383, 7008, 6770, 4209, 8371, 4122, 15284, 9340, 8658, 11882, 10626, 5693, 13834, 17072, 14779, 5746, 3892, 10514, 3644, 12784, 14468, 13767, 5676, 8841, 15984, 5655, 12870, 16725, 15688, 4198, 13122, 8628, 5306, 5173, 13851, 15370, 7507, 5283, 12340, 762, 10295, 4969, 7514, 2407, 5542, 14627, 2769, 2354, 5082, 10594, 10730, 10603, 14840, 5207, 8815, 263, 9906, 15780, 3803, 13817, 8235, 17024, 5865, 2406, 4339, 10332, 11631, 16952, 11261, 15721, 6512, 16810, 2184, 4610, 2205, 8657, 7981, 8734, 5539, 16873, 14993, 13094, 12174, 2658, 12542, 7458, 5388, 17572, 12348, 3063, 4384, 3453, 17541, 13459, 12261, 2244, 14176, 9775, 1699, 11050, 17762, 8372, 5030, 12930, 6593, 11760, 2919, 14917, 6526, 9952, 5190, 1620, 15897, 15416, 481, 3687, 5675, 102, 14020, 11387, 17564, 5932, 6380, 7884, 313, 331, 11039, 11266, 3544, 7028, 13384, 16232, 17342, 3195, 10602, 9109, 911, 15498, 9882, 17238, 5948, 9977, 9512, 9296, 14966, 9994, 1483, 14431, 11924, 17704, 9551, 5567, 12631, 15032, 2832, 6528, 850, 15306, 1504, 7814, 10183, 15630, 17021, 17076, 1260, 1087, 3565, 2546, 4028, 4736, 14041, 3315, 8147, 6274, 6482, 5823, 12965, 16157, 3617, 5553, 665, 1410, 7470, 7003, 7563, 5608, 16723, 10261, 4349, 14132, 8233, 10070, 14567, 8816, 10235, 7923, 6841, 1091, 9855, 16518, 4328, 17221, 4933, 8796, 5795, 10196, 10911, 11486, 13996, 9884, 16268, 7029, 10036, 3635, 14091, 15628, 13432, 13466, 14139, 2609, 3616, 5726, 14240, 1602, 9247, 2728, 11970, 14180, 15072, 5532]",15
71,A & A International Trading Private Ltd.,71,"[15416, 2390, 9148, 669, 557, 92, 8669, 5603, 8976, 1311, 14837, 16202, 8744, 6532, 5835, 16576, 924, 9247, 3666, 3628, 14528, 8155, 601, 17834, 2992, 1217, 70, 13450, 7664, 5854, 15537, 5767, 15695, 7256, 16463, 4461, 10470]",10
72,A & D International Trading Dmcc,72,"[12374, 15538, 860, 9649, 5752, 5254, 10630, 676, 8236, 15477, 5220, 411, 13184, 3666, 71, 9825, 17423, 924, 8744, 1798, 10292, 1217, 15539, 4379, 12587, 16255]",10
73,A & P Solutions S.A. De C.V.,73,"[5768, 11433, 10528, 6718, 3072, 92, 16271, 9247, 4849, 13961, 17163, 1060, 12022, 1461, 10292, 414, 1033, 12780, 6620, 10205]",12
74,A B M International,74,"[16935, 1511, 7793, 11001, 1957, 696, 11929, 5067, 92, 242]",11
75,A B Sellos Y Banca Ltda,75,"[2319, 7381, 10429, 10003, 7149, 198, 1514]",21
76,A Bu Weber Algeria Sarl,76,"[15477, 103, 11035, 17075, 4992, 4686, 4228]",19
77,A C E D Limitada,77,"[302, 3288, 15541, 2640, 10288, 2403, 7072, 4461, 15557, 7775, 526]",12
78,A C P Test Co. Inc.,78,"[3171, 2403, 15030, 12493]",13
79,A Cme Bag Co.,79,"[4023, 10429, 7080, 4022, 8297, 15628, 10678, 14694, 12694]",21
80,A F Traders,80,"[10938, 118, 9385, 14284, 8430, 11202, 9053, 13906, 10195, 5761, 13561, 15313, 15809, 13167, 16252, 4731, 2928, 16572, 13933, 17334, 339, 11183, 11121, 12946, 3950, 629, 39, 8839, 765, 8618, 8177, 16314, 5645, 17118, 14052, 5236, 8428]",10
81,A G Pieco Distribution Corp,81,"[4463, 16626, 3072, 5833, 5306, 15958, 3731, 9060, 4461, 10784, 8879, 7223, 707, 11715, 7333, 4067, 9619, 16218, 13088, 8229, 4657]",22
82,A J Enterprises,82,"[16562, 1953, 426, 1885, 2425, 8231, 1599, 14813, 14406, 1822, 9992, 6723, 17585, 11818, 4880, 10877, 13317, 12720, 15987, 10081, 9314, 6192, 3822, 17417, 11598, 2621, 6746, 14418, 91, 16255, 17161, 15179, 10784, 11895, 9227, 5979, 8221, 10849, 16309, 16446, 8508, 17600, 17197, 14916, 12865]",19
83,A J Industries L L C,83,"[4360, 11801, 3516, 981, 5281, 465, 853, 10150, 10297, 7335, 13474, 8793, 11662, 7852, 10405, 13799, 3882, 5402, 11578, 8407, 5648, 15334, 17638, 2588, 11257, 13001, 16481, 5869, 11172, 5957, 9394, 9524, 10754, 14116, 16285, 911, 12189, 11323, 10132, 3724, 13201, 8210, 15087, 5791, 5242, 13160, 12448, 8476, 13809, 5293, 1352, 4052, 1037, 15963, 1308, 4113, 15160, 12485, 11299, 13074, 10757, 15047, 7052, 15083, 13609, 16890, 8514, 15590, 4053, 15217, 6289, 3397, 464, 15892, 17494, 15956, 7277, 17386, 11297, 6374, 15122, 12697, 3644, 1186, 10135, 2097, 4551, 11656, 9939, 13402, 13736, 4415, 14384, 17529, 3445, 11021, 11206, 15365, 16345, 11330, 7440, 14622, 15250, 7284, 5225, 2999, 17558, 3627, 9355, 12207, 13172, 4525, 7517, 6952, 11965, 13452, 9999, 2667, 231, 14173, 6066, 15123, 10988]",18
84,A K H Construction & Trading Corp,84,"[923, 10121, 895, 16626, 2918, 8300, 3645, 846, 11505, 13184, 5253, 5014, 635, 3619, 3376, 3333, 7767, 3594, 11027, 16202, 9221, 14547, 5491, 5758, 15871, 13791, 677, 3666, 15539, 3983, 1514, 7198, 10684]",10
85,"A K Khan Penfabric Co., Ltd.",85,"[7223, 6627, 5768, 923]",13
86,A K T,86,"[5301, 10625, 13161, 13183, 8642, 923, 13184, 9526, 7612, 14985, 4764]",10
87,A N Deringer Inc.,87,"[6395, 11895, 11978, 12509, 7198, 101, 11050, 118, 16239, 1691, 90, 4736, 12944, 16237, 14438, 10784]",19
88,A One Techniques (Pvt) Ltd.,88,"[16728, 892, 10455, 10784, 6517, 15617, 4134, 4999, 9931, 4986]",23
89,A R Imp. & Exp.,89,"[10606, 17342, 5554, 13860, 5738, 13167, 12444, 7306, 14041, 15905, 5807, 4215, 5824, 10553, 5584, 12217, 15292, 4231, 8475, 4297, 1133, 4255, 16331, 16943, 6556, 193, 12373, 13710, 14133, 16714, 6366, 10464, 4746, 1080, 17347, 17742, 14227, 10784, 14081, 624, 4912, 13851, 13958, 13475, 6640, 13168, 9868, 13155, 14502, 103, 17357, 15930, 10626, 2551, 5697, 13491, 6443, 10060]",15
90,A R Resin,90,"[13064, 625, 4463, 13594, 12280, 17717, 5204, 17300, 14963, 6556, 12088, 14609, 2380, 10320, 1609, 17178, 12376, 14502, 13167, 14501, 10040, 4711, 5256, 13991, 401, 10435, 11879, 8669, 11944, 10301, 14953, 6685, 686, 13193, 6960, 5985, 9417, 11929, 4736, 13202]",25
91,A S I Enterprise,91,"[17161, 2146, 1683, 14390, 14813, 9230, 7883, 11473, 13351, 12591, 13017, 10750, 329, 12875, 12015, 10229, 17197, 16414, 12511, 12091, 15082, 1217, 11598, 13447, 8619, 3630, 11652, 8506, 780, 9011, 15529, 7552, 16949, 16446, 1822, 6523, 13161, 4135, 14679, 117, 14502, 2026, 10309, 4127, 10849]",19
